date,prediction
2004-08-04,3356.0002524964007
2004-08-05,3358.000249263163
2004-08-06,3360.0002460948213
2004-08-07,3362.000242802726
2004-08-08,3364.000241509617
2004-08-09,3366.0002383707824
2004-08-10,3368.0002352263764
2004-08-11,3370.000232081027
2004-08-12,3372.0002289550207
2004-08-13,3374.0002259235057
2004-08-14,3376.0002227831965
2004-08-15,3378.000221653689
2004-08-16,3380.0002186645347
2004-08-17,3382.0002156563314
2004-08-18,3384.0002126292156
2004-08-19,3386.000209601819
2004-08-20,3388.0002066506067
2004-08-21,3390.0002035750517
2004-08-22,3392.000202509501
2004-08-23,3394.000199575436
2004-08-24,3396.0001966306795
2004-08-25,3398.0001936860644
2004-08-26,3400.000190771588
2004-08-27,3402.0001879753286
2004-08-28,3404.0001851066704
2004-08-29,3406.000184318378
2004-08-30,3408.00018172387
2004-08-31,3410.0001791944314
2004-09-01,3412.0001767441768
2004-09-02,3414.000174403556
2004-09-03,3416.0001722582188
2004-09-04,3418.000170110721
2004-09-05,3420.0001701133797
2004-09-06,3422.000168351193
2004-09-07,3424.0001666878056
2004-09-08,3426.0001651194852
2004-09-09,3428.0001636568077
2004-09-10,3430.000162364212
2004-09-11,3432.0001610209524
2004-09-12,3434.000161765413
2004-09-13,3436.000160644286
2004-09-14,3438.0001595077742
2004-09-15,3440.0001583329895
2004-09-16,3442.0001571140247
2004-09-17,3444.000155902317
2004-09-18,3446.000154466768
2004-09-19,3448.0001549493086
2004-09-20,3450.0001533799527
2004-09-21,3452.0001516207376
2004-09-22,3454.000149657871
2004-09-23,3456.000147499462
2004-09-24,3458.00014521581
2004-09-25,3460.0001425977985
2004-09-26,3462.0001418227316
2004-09-27,3464.0001389343165
2004-09-28,3466.000135834367
2004-09-29,3468.0001325428343
2004-09-30,3470.000129102337
2004-10-01,3472.000125617706
2004-10-02,3474.0001219120236
2004-10-03,3476.000120202335
2004-10-04,3478.0001165442586
2004-10-05,3480.0001128713943
2004-10-06,3482.0001092233006
2004-10-07,3484.0001056571305
2004-10-08,3486.0001022868605
2004-10-09,3488.000098937625
2004-10-10,3490.00009783206
2004-10-11,3492.0000950004687
2004-10-12,3494.0000923689327
2004-10-13,3496.000089956338
2004-10-14,3498.000087794251
2004-10-15,3500.0000859669763
2004-10-16,3502.00008426533
2004-10-17,3504.0000848846676
2004-10-18,3506.000083801603
2004-10-19,3508.000082911672
2004-10-20,3510.0000821961344
2004-10-21,3512.0000816506235
2004-10-22,3514.0000813264014
2004-10-23,3516.0000809837047
2004-10-24,3518.000082801421
2004-10-25,3520.0000827200743
2004-10-26,3522.0000826285873
2004-10-27,3524.000082500181
2004-10-28,3526.000082328968
2004-10-29,3528.0000821714007
2004-10-30,3530.0000817980867
2004-10-31,3532.000083413894
2004-11-01,3534.000082965948
2004-11-02,3536.000082378197
2004-11-03,3538.000081655158
2004-11-04,3540.00008082523
2004-11-05,3542.000079981246
2004-11-06,3544.000078929756
2004-11-07,3546.000079920753
2004-11-08,3548.000078920038
2004-11-09,3550.0000778911794
2004-11-10,3552.000076866885
2004-11-11,3554.0000758990936
2004-11-12,3556.0000750988743
2004-11-13,3558.0000742836924
2004-11-14,3560.0000757174607
2004-11-15,3562.0000753482004
2004-11-16,3564.000075138461
2004-11-17,3566.0000751055672
2004-11-18,3568.000075279808
2004-11-19,3570.000075745098
2004-11-20,3572.000076285647
2004-11-21,3574.0000791377556
2004-11-22,3576.0000801941064
2004-11-23,3578.0000813839106
2004-11-24,3580.0000826831215
2004-11-25,3582.000084081653
2004-11-26,3584.0000856255206
2004-11-27,3586.0000870634008
2004-11-28,3588.0000906103955
2004-11-29,3590.000092118939
2004-11-30,3592.0000935083526
2004-12-01,3594.000094744487
2004-12-02,3596.0000958151472
2004-12-03,3598.000096772685
2004-12-04,3600.0000973792053
2004-12-05,3602.0000998809023
2004-12-06,3604.0001001440364
2004-12-07,3606.0001001323008
2004-12-08,3608.000099854214
2004-12-09,3610.0000993451335
2004-12-10,3612.0000987087074
2004-12-11,3614.0000977592626
2004-12-12,3616.0000988054016
2004-12-13,3618.000097749931
2004-12-14,3620.000096614164
2004-12-15,3622.0000954524453
2004-12-16,3624.0000943404348
2004-12-17,3626.0000934153845
2004-12-18,3628.0000925160152
2004-12-19,3630.000093975948
2004-12-20,3632.000093688499
2004-12-21,3634.00009367906
2004-12-22,3636.0000939881957
2004-12-23,3638.00009466779
2004-12-24,3640.000095821969
2004-12-25,3642.0000972463295
2004-12-26,3644.000101233217
2004-12-27,3646.0001036033195
2004-12-28,3648.000106328086
2004-12-29,3650.0001093831843
2004-12-30,3652.0001127541836
2004-12-31,3654.000116479542
2005-01-01,3656.0001202904064
2005-01-02,3658.0001264285743
2005-01-03,3660.0001306454838
2005-01-04,3662.0001348748347
2005-01-05,3664.0001390562707
2005-01-06,3666.0001431500523
2005-01-07,3668.0001471812316
2005-01-08,3670.00015087877
2005-01-09,3672.0001565046623
2005-01-10,3674.0001598184826
2005-01-11,3676.0001627981724
2005-01-12,3678.0001654317016
2005-01-13,3680.000167738407
2005-01-14,3682.0001698119318
2005-01-15,3684.0001714562986
2005-01-16,3686.0001750238666
2005-01-17,3688.000176343282
2005-01-18,3690.0001774864677
2005-01-19,3692.0001785265877
2005-01-20,3694.0001795646535
2005-01-21,3696.000180770245
2005-01-22,3698.00018201389
2005-01-23,3700.0001857136867
2005-01-24,3702.00018772687
2005-01-25,3704.0001901636956
2005-01-26,3706.0001931127726
2005-01-27,3708.000196674464
2005-01-28,3710.0002010012236
2005-01-29,3712.000205928497
2005-01-30,3714.0002138324444
2005-01-31,3716.000220487812
2005-02-01,3718.0002279315013
2005-02-02,3720.0002361581774
2005-02-03,3722.000245163314
2005-02-04,3724.00025498596
2005-02-05,3726.000265340787
2005-02-06,3728.0002784893327
2005-02-07,3730.000290066286
2005-02-08,3732.000301994511
2005-02-09,3734.0003141522857
2005-02-10,3736.000326426903
2005-02-11,3738.0003387603188
2005-02-12,3740.000350782284
2005-02-13,3742.0003646945756
2005-02-14,3744.000376064661
2005-02-15,3746.000386790688
2005-02-16,3748.0003967384228
2005-02-17,3750.000405803121
2005-02-18,3752.000413955395
2005-02-19,3754.000420872554
2005-02-20,3756.000428832718
2005-02-21,3758.0004334726705
2005-02-22,3760.0004367995625
2005-02-23,3762.000438794377
2005-02-24,3764.00043947899
2005-02-25,3766.000438959431
2005-02-26,3768.0004370528454
2005-02-27,3770.000436189281
2005-02-28,3772.0004321318925
2005-03-01,3774.0004270340232
2005-03-02,3776.0004210082857
2005-03-03,3778.0004141984687
2005-03-04,3780.0004068203184
2005-03-05,3782.000398784806
2005-03-06,3784.000392608726
2005-03-07,3786.0003840989157
2005-03-08,3788.0003754567265
2005-03-09,3790.0003668151912
2005-03-10,3792.0003583184875
2005-03-11,3794.0003501632377
2005-03-12,3796.000342221201
2005-03-13,3798.000336961942
2005-03-14,3800.0003301042525
2005-03-15,3802.0003237712003
2005-03-16,3804.000317998329
2005-03-17,3806.000312823459
2005-03-18,3808.000308330923
2005-03-19,3810.0003042757953
2005-03-20,3812.000303020264
2005-03-21,3814.000300153499
2005-03-22,3816.0002976979827
2005-03-23,3818.0002955890027
2005-03-24,3820.0002937745035
2005-03-25,3822.0002922615427
2005-03-26,3824.000290740817
2005-03-27,3826.000291535131
2005-03-28,3828.0002901856797
2005-03-29,3830.0002887073397
2005-03-30,3832.0002870368553
2005-03-31,3834.000285139964
2005-04-01,3836.000283057171
2005-04-02,3838.0002805256545
2005-04-03,3840.0002799369254
2005-04-04,3842.000276886761
2005-04-05,3844.0002734768664
2005-04-06,3846.000269729407
2005-04-07,3848.000265699397
2005-04-08,3850.0002615181083
2005-04-09,3852.000257011095
2005-04-10,3854.0002546641995
2005-04-11,3856.00025013673
2005-04-12,3858.0002456095253
2005-04-13,3860.000241166343
2005-04-14,3862.0002369123767
2005-04-15,3864.0002330166185
2005-04-16,3866.0002293276116
2005-04-17,3868.0002283497597
2005-04-18,3870.000225721911
2005-04-19,3872.000223614212
2005-04-20,3874.000222078783
2005-04-21,3876.000221176932
2005-04-22,3878.000221022937
2005-04-23,3880.000221399965
2005-04-24,3882.0002247489224
2005-04-25,3884.000226614526
2005-04-26,3886.0002290927046
2005-04-27,3888.0002321520938
2005-04-28,3890.0002357710596
2005-04-29,3892.0002399837135
2005-04-30,3894.0002444963993
2005-05-01,3896.0002516891236
2005-05-02,3898.00025702876
2005-05-03,3900.0002625663187
2005-05-04,3902.0002682282043
2005-05-05,3904.0002739617476
2005-05-06,3906.0002797818543
2005-05-07,3908.0002853862893
2005-05-08,3910.0002931677377
2005-05-09,3912.000298592118
2005-05-10,3914.000303743637
2005-05-11,3916.000308583776
2005-05-12,3918.0003131033345
2005-05-13,3920.0003173678806
2005-05-14,3922.000321130135
2005-05-15,3924.000326851238
2005-05-16,3926.0003300429357
2005-05-17,3928.0003328595185
2005-05-18,3930.000335323885
2005-05-19,3932.000337485793
2005-05-20,3934.0003394660794
2005-05-21,3936.000341066452
2005-05-22,3938.000344800496
2005-05-23,3940.000346200589
2005-05-24,3942.000347457749
2005-05-25,3944.0003486160426
2005-05-26,3946.000349738409
2005-05-27,3948.0003509511785
2005-05-28,3950.000352052793
2005-05-29,3952.0003555561443
2005-05-30,3954.0003569617356
2005-05-31,3956.0003584469023
2005-06-01,3958.0003600298846
2005-06-02,3960.0003617444268
2005-06-03,3962.0003636855613
2005-06-04,3964.0003656180725
2005-06-05,3966.000370030709
2005-06-06,3968.000372375927
2005-06-07,3970.000374808572
2005-06-08,3972.000377319473
2005-06-09,3974.0003799184547
2005-06-10,3976.000382680822
2005-06-11,3978.000385354827
2005-06-12,3980.0003904268647
2005-06-13,3982.0003933268
2005-06-14,3984.000396215015
2005-06-15,3986.000399084411
2005-06-16,3988.000401950696
2005-06-17,3990.00040489848
2005-06-18,3992.0004076867085
2005-06-19,3994.000412823924
2005-06-20,3996.0004157383546
2005-06-21,3998.000418612708
